# Timestamp Wed May  7 14:21:16 2025
# At the Calibration unit focal plane for flat field calibration mode
# Source is Thorlabs OSL2IR QTH
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
3.700000000000000000e+02,3.263962108215501817e-09,9.986076577991944827e-12,2.863978875965873905e-09,6.071724384312397003e+09,1.857641193492719904e+07,5.327663067407608986e+09
3.710000000000000000e+02,3.607614868394843713e-09,1.103748056664469252e-11,3.165518603814950794e-09,6.729135827926029205e+09,2.058775912632067129e+07,5.904511825114866257e+09
3.720000000000000000e+02,3.789454021626346788e-09,1.159381659287380189e-11,3.325074222542177234e-09,7.087364987657120705e+09,2.168375954021646827e+07,6.218841683185974121e+09
3.730000000000000000e+02,3.895376981670184397e-09,1.191788738637441875e-11,3.418016821134776874e-09,7.305055878144690514e+09,2.234978378641356528e+07,6.409855577090355873e+09
3.740000000000000000e+02,4.182270249297463047e-09,1.279563597696779552e-11,3.669752665761530855e-09,7.864097904661896706e+09,2.406017021310184151e+07,6.900389627927665710e+09
3.750000000000000000e+02,4.188520047034225332e-09,1.281475720347933513e-11,3.675236580128089624e-09,7.896908082643712997e+09,2.416055279690673947e+07,6.929179072639686584e+09
3.760000000000000000e+02,4.726313371059881312e-09,1.446013332574970150e-11,4.147125857202765604e-09,8.934609489786403656e+09,2.733539532670633122e+07,7.839715044284767151e+09
3.770000000000000000e+02,4.921265380635894683e-09,1.505658807372588646e-11,4.318187413293580285e-09,9.327888629963460922e+09,2.853863098941507936e+07,8.184799672255805969e+09
3.780000000000000000e+02,5.220180466759702638e-09,1.597111736094894507e-11,4.580471859001851925e-09,9.920704959452831268e+09,3.035234973574008420e+07,8.704969143804426193e+09
3.790000000000000000e+02,5.413764231976680579e-09,1.656338597180290439e-11,4.750332842656003234e-09,1.031582023086557198e+10,3.156120303324938193e+07,9.051664893748744965e+09
3.800000000000000000e+02,5.494000605551839854e-09,1.680886877592160052e-11,4.820736625354631976e-09,1.049633097088838196e+10,3.211347478557168692e+07,9.210054890069181442e+09
3.810000000000000000e+02,5.822506030057377676e-09,1.781392956297576856e-11,5.108985252400870107e-09,1.115321667899377251e+10,3.412321349167304486e+07,9.786442338686433792e+09
3.820000000000000000e+02,6.114644675086676257e-09,1.870772636083392720e-11,5.365323678055768727e-09,1.174356091444499969e+10,3.592936887802192569e+07,1.030444265971495247e+10
3.830000000000000000e+02,6.423246672149210008e-09,1.965189270609599651e-11,5.636107949246708596e-09,1.236854437120738029e+10,3.784150279756042361e+07,1.085283732811206627e+10
3.840000000000000000e+02,7.093402483493067730e-09,2.170223123007013370e-11,6.224139312252916977e-09,1.369465336179657364e+10,4.189872696001474559e+07,1.201643788790910339e+10
3.850000000000000000e+02,7.034772617621928308e-09,2.152285343371860208e-11,6.172694261180476964e-09,1.361682985311434364e+10,4.166062630458352715e+07,1.194815128483903503e+10
3.860000000000000000e+02,7.101855701581779429e-09,2.172809381069013038e-11,6.231556628152224527e-09,1.378238461945986557e+10,4.216714032642731071e+07,1.209341809183890915e+10
3.870000000000000000e+02,7.260871787858961564e-09,2.221460277190006822e-11,6.371086039627410460e-09,1.412748809402422523e+10,4.322298276885534078e+07,1.239623075583613968e+10
3.880000000000000000e+02,7.722932604555729409e-09,2.362827564745502201e-11,6.776523472586638478e-09,1.506534867052601051e+10,4.609236275119432062e+07,1.321916092188846779e+10
