Wavelength,25LRB,25LRR,25HRB,25HRR,50LRB,50LRR,50HRB,50HRR
370,0,0,0,0,0,0,0,0
380,0.367064342,0,0,0,0.372223086,0,0,0
390,0.400759497,0,0,0,0.407566965,0,0,0
400,0.459458795,0,0,0,0.46403766,0,0,0
410,0.492113719,0,0,0,0.497700579,0,0,0
420,0.515153026,0,0,0,0.521520803,0,0,0
430,0.5365456,0,0.4896555,0,0.543558968,0,0.496055951,0
440,0.54681844,0,0.531000321,0,0.556544267,0,0.540444803,0
450,0.557633017,0,0.563970932,0,0.568609124,0,0.575071791,0
460,0.571297332,0,0.595593424,0,0.581237911,0,0.605956755,0
470,0.582009454,0,0.612973147,0,0.58983886,0,0.621219089,0
480,0.581417703,0,0.615106453,0,0.588852093,0,0.622971609,0
490,0.581541957,0,0.609090836,0,0.588783107,0,0.616675015,0
500,0.569539406,0.407766478,0.583484188,0,0.580055992,0.415295915,0.594258265,0
510,0.56647989,0.425640718,0.560214427,0,0.578206615,0.434451925,0.57181145,0
520,0.577268276,0.457609105,0.541873934,0,0.585972941,0.464509422,0.550044885,0
530,0.567963318,0.468480337,0.501030258,0,0.57998088,0.478392934,0.51163158,0
540,0.564283359,0.485412084,0.459432891,0,0.577879118,0.49710753,0.470502399,0
550,0.571560815,0.513402049,0,0,0.581349026,0.522194268,0,0
560,0.578421807,0.542459122,0,0,0.584260095,0.547934421,0,0
570,0.571365146,0.557422197,0,0,0.57681974,0.562743683,0,0
580,0.545776175,0.552885038,0,0,0.556717903,0.563969284,0,0
590,0.547366746,0.573910669,0,0,0.554594324,0.58148874,0,0
600,0.547350417,0.592650605,0,0,0.550912541,0.59650754,0,0
610,0.5411426,0.605378612,0,0,0.543461336,0.607972592,0,0
620,0.5137408,0.594199402,0,0,0.520841539,0.60241221,0,0
630,0.51763879,0.616450347,0,0.505205924,0.520028956,0.619296769,0,0.507538682
640,0.505171119,0.617385012,0,0.529374384,0.509500995,0.622676686,0,0.53391171
650,0.493438628,0.624090236,0,0.558296513,0.496644165,0.628144528,0,0.561923388
660,0.477236443,0.625203785,0,0.579745664,0.481652954,0.630989637,0,0.585110831
670,0.474441956,0.639541134,0,0.611387561,0.476021174,0.641669898,0,0.613422614
680,0.456672354,0.633640538,0,0.622759676,0.460345447,0.638737017,0,0.627768639
690,0.453995327,0.64951825,0,0.655407861,0.454287593,0.649936386,0,0.655829789
700,0,0.651694286,0,0.673699722,0,0.650837277,0,0.672813775
710,0,0.644414227,0,0.680093522,0,0.645630124,0,0.681376739
720,0,0.634836291,0,0.680241124,0,0.637599316,0,0.683201766
730,0,0.630648083,0,0.683685084,0,0.632862765,0,0.68608602
740,0,0.622967982,0,0.683384197,0,0.625776896,0,0.686465524
750,0,0.609973036,0,0.674922799,0,0.613806256,0,0.679164178
760,0,0.607877839,0,0.676488365,0,0.609283102,0,0.678052238
770,0,0.588542898,0,0.65755094,0,0.593047268,0,0.662583457
780,0,0.578574864,0,0.648546925,0,0.58235309,0,0.652782084
790,0,0.576284511,0,0.650931687,0,0.577196849,0,0.651962201
800,0,0.554321058,0,0.621054635,0,0.558120298,0,0.625311258
810,0,0.553321876,0,0.61029003,0,0.553322005,0,0.610290172
820,0,0.53864866,0,0.591732373,0,0.539614809,0,0.592793736
830,0,0.531545469,0,0.579775326,0,0.531897523,0,0.580159323
840,0,0.523664696,0,0.563295922,0,0.523651411,0,0.56328163
850,0,0.51831896,0,0.549415733,0,0.516612566,0,0.547606963
860,0,0.498508439,0,0.524670663,0,0.499882343,0,0.526116672
870,0,0.492722386,0,0.513026683,0,0.493035776,0,0.513352988
880,0,0.473590606,0,0,0,0.477350616,0,0
890,0,0.474869205,0,0,0,0.474631954,0,0
900,0,0.451729391,0,0,0,0.455580945,0,0
910,0,0.448374796,0,0,0,0.449768858,0,0
920,0,0.436418467,0,0,0,0.438692957,0,0
930,0,0.426718387,0,0,0,0.429124929,0,0
940,0,0,0,0,0,0,0,0
950,0,0,0,0,0,0,0,0
960,0,0,0,0,0,0,0,0
970,0,0,0,0,0,0,0,0
980,0,0,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0
