Wavelength,25LRB,25LRR,25HRB,25HRR,50LRB,50LRR,50HRB,50HRR
370,0,0,0,0,0,0,0,0
370.5,0.140674997,0,0,0,0.142625039,0,0,0
371,0.143151442,0,0,0,0.145367352,0,0,0
371.5,0.14540782,0,0,0,0.148157157,0,0,0
372,0.147025426,0,0,0,0.150775191,0,0,0
372.5,0.149703172,0,0,0,0.153587342,0,0,0
373,0.153367114,0,0,0,0.156885804,0,0,0
373.5,0.158231551,0,0,0,0.161405471,0,0,0
374,0.162465848,0,0,0,0.165648842,0,0,0
374.5,0.167410786,0,0,0,0.17025733,0,0,0
375,0.173061189,0,0,0,0.175013197,0,0,0
375.5,0.178655403,0,0,0,0.179966158,0,0,0
376,0.183563442,0,0,0,0.184696838,0,0,0
376.5,0.18769598,0,0,0,0.189175098,0,0,0
377,0.190255458,0,0,0,0.192953284,0,0,0
377.5,0.191369314,0,0,0,0.195728785,0,0,0
378,0.196022107,0,0,0,0.200160362,0,0,0
378.5,0.203690605,0,0,0,0.206672809,0,0,0
379,0.209889062,0,0,0,0.212494421,0,0,0
379.5,0.214226455,0,0,0,0.217310344,0,0,0
380,0.216862264,0,0,0,0.221241783,0,0,0
380.5,0.218527874,0,0,0,0.224300941,0,0,0
381,0.223314004,0,0,0,0.229207266,0,0,0
381.5,0.229617848,0,0,0,0.234831208,0,0,0
382,0.235402392,0,0,0,0.239959676,0,0,0
382.5,0.240179311,0,0,0,0.244362944,0,0,0
383,0.244670602,0,0,0,0.248661326,0,0,0
383.5,0.25180846,0,0,0,0.254904457,0,0,0
384,0.259653327,0,0,0,0.261748524,0,0,0
384.5,0.26612564,0,0,0,0.267767963,0,0,0
385,0.271489803,0,0,0,0.273101522,0,0,0
385.5,0.275846957,0,0,0,0.277882751,0,0,0
386,0.277739812,0,0,0,0.281063138,0,0,0
386.5,0.284693219,0,0,0,0.287789803,0,0,0
387,0.294222587,0,0,0,0.296465638,0,0,0
387.5,0.301186368,0,0,0,0.303314781,0,0,0
388,0.309309284,0,0,0,0.310293405,0,0,0
388.5,0.316599697,0,0,0,0.316943818,0,0,0
389,0.322987897,0,0,0,0.323246249,0,0,0
389.5,0.328586551,0,0,0,0.329143842,0,0,0
390,0.332589452,0,0,0,0.334051739,0,0,0
390.5,0.330964873,0,0,0,0.333994732,0,0,0
391,0.335524202,0,0,0,0.338209337,0,0,0
391.5,0.341277874,0,0,0,0.343742109,0,0,0
392,0.345386381,0,0,0,0.347829622,0,0,0
392.5,0.351851705,0,0,0,0.352303056,0,0,0
393,0.355941768,0,0,0,0.355840894,0,0,0
393.5,0.359320235,0,0,0,0.359082211,0,0,0
394,0.362355599,0,0,0,0.362183704,0,0,0
394.5,0.364820073,0,0,0,0.365024904,0,0,0
395,0.365650404,0,0,0,0.367209043,0,0,0
395.5,0.365677906,0,0,0,0.368775978,0,0,0
396,0.367109364,0,0,0,0.369932773,0,0,0
396.5,0.368590709,0,0,0,0.371661507,0,0,0
397,0.377334276,0,0,0,0.378495715,0,0,0
397.5,0.382954576,0,0,0,0.383337807,0,0,0
398,0.386109634,0,0,0,0.386782441,0,0,0
398.5,0.386289616,0,0,0,0.388998677,0,0,0
399,0.38921266,0,0,0,0.392062069,0,0,0
399.5,0.395076264,0,0,0,0.396013201,0,0,0
400,0.398740458,0,0,0,0.399184094,0,0,0
400.5,0.400010897,0,0,0,0.400951877,0,0,0
401,0.398799596,0,0,0,0.401611372,0,0,0
401.5,0.398899623,0,0,0,0.40164648,0,0,0
402,0.397680061,0,0,0,0.40080913,0,0,0
402.5,0.402412242,0,0,0,0.404427601,0,0,0
403,0.405579109,0,0,0,0.407089574,0,0,0
403.5,0.405590065,0,0,0,0.407593882,0,0,0
404,0.403464421,0,0,0,0.406669651,0,0,0
404.5,0.404761072,0,0,0,0.408012082,0,0,0
405,0.409278577,0,0,0,0.411472583,0,0,0
405.5,0.411038572,0,0,0,0.413082145,0,0,0
406,0.408964074,0,0,0,0.412118491,0,0,0
406.5,0.414731709,0,0,0,0.41646577,0,0,0
407,0.422944731,0,0,0,0.422401948,0,0,0
407.5,0.426455921,0,0,0,0.425383334,0,0,0
408,0.428887592,0,0,0,0.427657235,0,0,0
408.5,0.431596973,0,0,0,0.430301359,0,0,0
409,0.434221008,0,0,0,0.432892781,0,0,0
409.5,0.437152279,0,0,0,0.435806478,0,0,0
410,0.440062733,0,0,0,0.438711374,0,0,0
410.5,0.442818117,0,0,0,0.441476907,0,0,0
411,0.445530704,0,0,0,0.444227817,0,0,0
411.5,0.448107296,0,0,0,0.446892268,0,0,0
412,0.450615688,0,0,0,0.449533364,0,0,0
412.5,0.453102152,0,0,0,0.452069375,0,0,0
413,0.455815509,0,0,0,0.454677372,0,0,0
413.5,0.458320483,0,0,0,0.457096998,0,0,0
414,0.460704534,0,0,0,0.459456911,0,0,0
414.5,0.462782401,0,0,0,0.461573731,0,0,0
415,0.464621527,0,0,0,0.463544074,0,0,0
415.5,0.465660116,0,0,0,0.464929468,0,0,0
416,0.464140105,0,0,0,0.46459335,0,0,0
416.5,0.459172745,0,0,0,0.461858666,0,0,0
417,0.464360243,0,0,0,0.465915106,0,0,0
417.5,0.47017644,0,0,0,0.470329616,0,0,0
418,0.473063317,0,0,0,0.47279366,0,0,0
418.5,0.474554202,0,0,0,0.474285179,0,0,0
419,0.475106101,0,0,0,0.475159056,0,0,0
419.5,0.474671646,0,0,0,0.475418178,0,0,0
420,0.473034242,0,0,0,0.47489151,0,0,0
420.5,0.471020331,0,0,0,0.474183327,0,0,0
421,0.470319226,0,0,0,0.474302972,0,0,0
421.5,0.47160743,0,0,0,0.475699845,0,0,0
422,0.473080323,0,0,0,0.477243111,0,0,0
422.5,0.474485281,0,0,0,0.478799171,0,0,0
