Wavelength,tpt
370,0.933904937
371,0.934725988
372,0.930827058
373,0.93285237
374,0.930267248
375,0.929956045
376,0.930355781
377,0.927917174
378,0.930023142
379,0.927152103
380,0.92950152
381,0.927448607
382,0.929287073
383,0.928369632
384,0.929351939
385,0.929611516
386,0.929865768
387,0.930765729
388,0.930828857
389,0.932149895
390,0.932017925
391,0.933404547
392,0.933529879
393,0.934735704
394,0.934679554
395,0.935337445
396,0.936399172
397,0.936243337
398,0.937679707
399,0.936797299
400,0.939110783
401,0.937269317
402,0.939809135
403,0.937772429
404,0.940090657
405,0.938402632
406,0.939692685
407,0.939214562
408,0.938574233
409,0.94005462
410,0.937939219
411,0.939984754
412,0.937727269
413,0.938967649
414,0.938395739
415,0.937504695
416,0.93884797
417,0.936428172
418,0.938137829
419,0.936614412
420,0.936455564
421,0.937282688
422,0.934885178
423,0.936849643
424,0.935415712
425,0.934914175
426,0.936196366
427,0.933897985
428,0.935449933
429,0.934878425
430,0.933637085
431,0.93551471
432,0.933478946
433,0.933872893
434,0.934989469
435,0.932868957
436,0.934404055
437,0.934211632
438,0.932814747
439,0.934998693
440,0.933854551
441,0.933203451
442,0.9352811
443,0.933679727
444,0.933891345
445,0.935721681
446,0.933836568
447,0.93447697
448,0.935985006
449,0.934056995
450,0.935062977
451,0.936487908
452,0.934522152
453,0.935521345
454,0.936979825
455,0.935039644
456,0.93591718
457,0.93764448
458,0.935825161
459,0.936231286
460,0.938143597
461,0.936555093
462,0.936382298
463,0.938454307
464,0.937268533
465,0.936431153
466,0.938606579
467,0.938137025
468,0.936497721
469,0.938363115
470,0.939092043
471,0.937103427
472,0.937897577
473,0.939489037
474,0.93774111
475,0.9372905
476,0.939550818
477,0.938994628
478,0.937109415
479,0.938632224
480,0.939759859
481,0.937691367
482,0.937523014
483,0.939684983
484,0.938925612
485,0.937060833
486,0.938561511
487,0.939874307
488,0.937852697
489,0.937146788
490,0.939317075
491,0.939281693
492,0.937082475
493,0.937701074
494,0.939689659
495,0.93846418
496,0.936664769
497,0.938227429
498,0.939676502
499,0.937736104
500,0.936529278
501,0.938623742
502,0.939531872
503,0.937269601
504,0.936574815
505,0.938917316
506,0.939412776
507,0.936972037
